
        OSPF Router with ID (10.8.252.1) (Process ID 1 VRF default)

                Router Link States (Area 0.0.0.0)

Link ID         ADV Router      Age        Seq#       Checksum Link Count
10.8.252.74     10.8.252.74     1637       0x8000c6b0 0xcc1e   7   
10.8.252.75     10.8.252.75     1779       0x8000c59d 0xbd3c   7   
10.8.252.76     10.8.252.76     1409       0x8000c59b 0xe305   7   
10.8.252.77     10.8.252.77     481        0x8000cba3 0x7d1a   5   
10.8.252.78     10.8.252.78     703        0x800024e2 0x4d44   9   
10.8.252.79     10.8.252.79     482        0x80002529 0x8546   10  
10.8.252.80     10.8.252.80     139        0x800024c0 0x054c   7   
10.8.252.81     10.8.252.81     1231       0x800024c2 0x2319   7   
10.8.252.84     10.8.252.84     761        0x80009c19 0x9af4   7   
10.8.252.85     10.8.252.85     1280       0x80007132 0xf39a   7   
10.8.252.86     10.8.252.86     1233       0x80008eb7 0x04ac   7   
10.8.252.87     10.8.252.87     804        0x80008eb7 0xa4f8   7   
10.8.252.88     10.8.252.88     1717       0x8000763b 0x105d   7   
10.8.252.89     10.8.252.89     1472       0x80007650 0xa39f   7   
10.8.252.90     10.8.252.90     974        0x80005507 0x52e7   9   
10.8.252.91     10.8.252.91     67         0x8000554a 0x25ec   9   
10.8.252.92     10.8.252.92     676        0x80003d01 0xb445   7   
10.8.252.93     10.8.252.93     1471       0x80003cf4 0xc713   7   
10.8.252.94     10.8.252.94     1545       0x80003b0e 0xe3ac   7   
10.8.252.95     10.8.252.95     1073       0x80003b0b 0xe185   7   
10.8.252.97     10.8.252.97     763        0x80003277 0x82c7   7   
10.8.252.98     10.8.252.98     1954       0x80003271 0xb08c   7   
10.8.252.99     10.8.252.99     1299       0x80003144 0xbb3e   7   
10.8.252.100    10.8.252.100    200        0x80003147 0x568d   7   
10.8.252.101    10.8.252.101    346        0x800014bb 0xd1d1   5   
10.8.252.102    10.8.252.102    446        0x8000048a 0xa614   5   
10.8.252.103    10.8.252.103    989        0x800001c5 0x2c17   7   
10.8.252.104    10.8.252.104    892        0x800001b8 0x68d4   7   
10.8.252.105    10.8.252.105    1545       0x80000196 0x94d9   5   
10.8.252.106    10.8.252.106    322        0x80000172 0x7906   5   
10.8.252.107    10.8.252.107    576        0x80000173 0x4489   5   
10.8.252.108    10.8.252.108    91         0x80000173 0xe0d9   5   
10.8.252.251    10.8.252.251    371        0x800018ac 0xbe56   5   
10.8.252.252    10.8.252.252    359        0x800018af 0xa648   5   
10.8.252.253    10.8.252.253    1008       0x8000082f 0x6c54   5   
10.8.252.254    10.8.252.254    1008       0x80000831 0x5645   5   

                Network Link States (Area 0.0.0.0)

Link ID         ADV Router      Age        Seq#       Checksum 
10.8.5.18       10.8.252.59     377        0x8000459e 0xe6a8
10.8.6.1        10.8.252.11     677        0x800024fa 0x7ee6

                Opaque Area Link States (Area 0.0.0.0)

Link ID         ADV Router      Age        Seq#       Checksum Opaque ID
1.0.0.0         10.8.252.1      954        0x800001ac 0xa7db   0
1.0.0.0         10.8.252.2      74         0x80000355 0x5482   0
1.0.0.0         10.8.252.3      1444       0x8000de91 0x4c70   0
1.0.0.0         10.8.252.4      338        0x8000de92 0x4e6b   0
1.0.0.0         10.8.252.12     359        0x80006f4c 0x85bb   0
1.0.0.0         10.8.252.55     1601       0x800050c0 0xa6ee   0
1.0.0.0         10.8.252.56     54         0x8000c9ce 0x22e9   0
1.0.0.1         10.8.252.55     1601       0x80000181 0xdc57   1
1.0.0.1         10.8.252.56     54         0x80002e0b 0xcc05   1
1.0.0.39        10.8.252.3      641        0x800071b3 0xbcb8   39
1.0.0.39        10.8.252.4      639        0x800071b4 0x96dd   39
1.0.0.40        10.8.252.56     54         0x800098a9 0x018f   40
1.0.0.41        10.8.252.1      814        0x800001ab 0x4181   41
1.0.0.41        10.8.252.2      854        0x800001aa 0x1fa4   41
1.0.0.43        10.8.252.3      1484       0x800001a9 0xa544   43
1.0.0.43        10.8.252.4      1490       0x800001a9 0xb030   43
1.0.0.44        10.8.252.3      641        0x800032c5 0x8923   44
1.0.0.44        10.8.252.4      629        0x8000a88a 0xb8a7   44
1.0.0.46        10.8.252.1      1295       0x800001aa 0xc520   46
1.0.0.46        10.8.252.2      1405       0x80000354 0x88a0   46
1.0.0.68        10.8.252.3      1694       0x80000353 0x898a   68
1.0.0.68        10.8.252.4      1692       0x80000353 0x9476   68
1.0.0.71        10.8.252.1      1295       0x800001aa 0xf1d1   71
1.0.0.71        10.8.252.2      1405       0x80000354 0xb452   71
1.0.0.71        10.8.252.3      1423       0x800028bf 0x151c   71
1.0.0.71        10.8.252.4      1370       0x800028bf 0x31ee   71
1.0.0.75        10.8.252.1      1295       0x800001aa 0xadd7   75
1.0.0.75        10.8.252.2      1366       0x80000355 0x5d72   75
1.0.0.90        10.8.252.55     1601       0x80000304 0x7bd1   90
1.0.1.57        10.8.252.12     360        0x80006f4d 0x3773   313
1.0.1.84        10.8.252.12     360        0x800024f1 0xf82c   340

                Type-5 AS External Link States 

Link ID         ADV Router      Age        Seq#       Checksum Tag
0.0.0.0         10.8.252.9      1410       0x8001478e 0x3ca7    0
0.0.0.0         10.8.252.10     231        0x80014793 0x2cb1    0
10.8.38.3       10.8.252.105    1053       0x800000d4 0x66e8    65500
10.8.38.3       10.8.252.106    842        0x800000d4 0x60ed    65500
10.8.38.3       10.8.252.107    576        0x800000d3 0x5cf1    65500
10.8.38.3       10.8.252.108    91         0x800000d3 0x56f6    65500
10.8.38.4       10.8.252.105    1048       0x800000d4 0x5cf1    65500
10.8.38.4       10.8.252.106    842        0x800000d4 0x56f6    65500
10.8.38.4       10.8.252.107    576        0x800000d3 0x52fa    65500
10.8.38.4       10.8.252.108    91         0x800000d3 0x4cff    65500
10.8.38.5       10.8.252.105    1048       0x800000d4 0x52fa    65500
10.8.38.5       10.8.252.106    842        0x800000d4 0x4cff    65500
10.8.38.5       10.8.252.107    576        0x800000d3 0x4804    65500
10.8.38.5       10.8.252.108    91         0x800000d3 0x4209    65500
10.8.38.6       10.8.252.105    1048       0x800000d4 0x4804    65500
10.8.38.6       10.8.252.106    842        0x800000d4 0x4209    65500
10.8.38.6       10.8.252.107    576        0x800000d3 0x3e0d    65500
10.8.38.6       10.8.252.108    91         0x800000d3 0x3812    65500
10.8.38.7       10.8.252.105    1048       0x800000d4 0x3e0d    65500
10.8.38.7       10.8.252.106    842        0x800000d4 0x3812    65500
10.8.38.7       10.8.252.107    576        0x800000d3 0x3416    65500
10.8.38.7       10.8.252.108    91         0x800000d3 0x2e1b    65500
10.8.38.8       10.8.252.105    1048       0x800000d4 0x3416    65500
10.8.38.8       10.8.252.106    842        0x800000d4 0x2e1b    65500
10.8.38.8       10.8.252.107    576        0x800000d3 0x2a1f    65500
10.8.38.8       10.8.252.108    91         0x800000d3 0x2424    65500
10.8.38.9       10.8.252.105    1048       0x800000d4 0x2a1f    65500
10.8.38.9       10.8.252.106    842        0x800000d4 0x2424    65500
10.8.38.9       10.8.252.107    576        0x800000d3 0x2028    65500
10.8.38.9       10.8.252.108    91         0x800000d3 0x1a2d    65500
10.8.38.10      10.8.252.105    1048       0x800000d4 0x2028    65500
10.8.38.10      10.8.252.106    842        0x800000d4 0x1a2d    65500
10.8.38.10      10.8.252.107    576        0x800000d3 0x1631    65500
10.8.38.10      10.8.252.108    91         0x800000d3 0x1036    65500
10.8.38.11      10.8.252.105    1048       0x800000d4 0x1631    65500
10.8.38.11      10.8.252.106    842        0x800000d4 0x1036    65500
10.8.38.11      10.8.252.107    576        0x800000d3 0x0c3a    65500
10.8.38.11      10.8.252.108    91         0x800000d3 0x063f    65500
10.8.39.3       10.8.252.105    1048       0x800000d4 0x5bf2    65500
10.8.39.3       10.8.252.106    842        0x800000d4 0x55f7    65500
10.8.39.3       10.8.252.107    576        0x800000d3 0x51fb    65500
10.8.39.3       10.8.252.108    91         0x800000d3 0x4b01    65500
10.8.39.4       10.8.252.105    1048       0x800000d4 0x51fb    65500
10.8.39.4       10.8.252.106    842        0x800000d4 0x4b01    65500
10.8.39.4       10.8.252.107    576        0x800000d3 0x4705    65500
10.8.39.4       10.8.252.108    91         0x800000d3 0x410a    65500
10.8.39.5       10.8.252.105    1048       0x800000d4 0x4705    65500
10.8.39.5       10.8.252.106    842        0x800000d4 0x410a    65500
10.8.39.5       10.8.252.107    576        0x800000d3 0x3d0e    65500
10.8.39.5       10.8.252.108    91         0x800000d3 0x3713    65500
10.8.39.6       10.8.252.105    1048       0x800000d4 0x3d0e    65500
10.8.39.6       10.8.252.106    842        0x800000d4 0x3713    65500
10.8.39.6       10.8.252.107    576        0x800000d3 0x3317    65500
10.8.39.6       10.8.252.108    91         0x800000d3 0x2d1c    65500
10.8.39.7       10.8.252.105    1048       0x800000d4 0x3317    65500
10.8.39.7       10.8.252.106    842        0x800000d4 0x2d1c    65500
10.8.39.7       10.8.252.107    576        0x800000d3 0x2920    65500
10.8.39.7       10.8.252.108    91         0x800000d3 0x2325    65500
10.8.39.8       10.8.252.105    1048       0x800000d4 0x2920    65500
10.8.39.8       10.8.252.106    842        0x800000d4 0x2325    65500
10.8.39.8       10.8.252.107    576        0x800000d3 0x1f29    65500
10.8.39.8       10.8.252.108    91         0x800000d3 0x192e    65500
10.8.39.9       10.8.252.105    1048       0x800000d4 0x1f29    65500
10.8.39.9       10.8.252.106    842        0x800000d4 0x192e    65500
10.8.39.9       10.8.252.107    576        0x800000d3 0x1532    65500
10.8.39.9       10.8.252.108    91         0x800000d3 0x0f37    65500
10.8.39.10      10.8.252.105    1048       0x800000d4 0x1532    65500
10.8.39.10      10.8.252.106    842        0x800000d4 0x0f37    65500
10.8.39.10      10.8.252.107    576        0x800000d3 0x0b3b    65500
10.8.39.10      10.8.252.108    91         0x800000d3 0x0540    65500
10.8.39.11      10.8.252.105    1048       0x800000d4 0x0b3b    65500
10.8.39.11      10.8.252.106    842        0x800000d4 0x0540    65500
10.8.39.11      10.8.252.107    576        0x800000d3 0x0144    65500
10.8.39.11      10.8.252.108    91         0x800000d3 0xfa49    65500
10.8.39.12      10.8.252.105    1545       0x800000d2 0x0542    65500
10.8.39.12      10.8.252.106    58         0x800000d4 0xfa49    65500
10.8.39.12      10.8.252.107    576        0x800000d3 0xf64d    65500
10.8.39.12      10.8.252.108    91         0x800000d3 0xf052    65500
10.8.39.13      10.8.252.105    1545       0x800000d2 0xfa4b    65500
10.8.39.13      10.8.252.106    58         0x800000d4 0xf052    65500
10.8.39.13      10.8.252.107    1097       0x800000d2 0xee55    65500
10.8.39.13      10.8.252.108    91         0x800000d2 0xe85a    65500
10.8.40.3       10.8.252.105    1048       0x800000d4 0x50fc    65500
10.8.40.3       10.8.252.106    842        0x800000d4 0x4a02    65500
10.8.40.3       10.8.252.107    576        0x800000d3 0x4606    65500
10.8.40.3       10.8.252.108    91         0x800000d3 0x400b    65500
10.8.40.4       10.8.252.105    1048       0x800000d4 0x4606    65500
10.8.40.4       10.8.252.106    842        0x800000d4 0x400b    65500
10.8.40.4       10.8.252.107    576        0x800000d3 0x3c0f    65500
10.8.40.4       10.8.252.108    91         0x800000d3 0x3614    65500
10.8.40.5       10.8.252.105    1048       0x800000d4 0x3c0f    65500
10.8.40.5       10.8.252.106    842        0x800000d4 0x3614    65500
10.8.40.5       10.8.252.107    576        0x800000d3 0x3218    65500
10.8.40.5       10.8.252.108    91         0x800000d3 0x2c1d    65500
10.8.40.6       10.8.252.105    1048       0x800000d4 0x3218    65500
10.8.40.6       10.8.252.106    842        0x800000d4 0x2c1d    65500
10.8.40.6       10.8.252.107    576        0x800000d3 0x2821    65500
10.8.40.6       10.8.252.108    91         0x800000d3 0x2226    65500
10.8.40.7       10.8.252.105    1048       0x800000d4 0x2821    65500
10.8.40.7       10.8.252.106    842        0x800000d4 0x2226    65500
10.8.40.7       10.8.252.107    576        0x800000d3 0x1e2a    65500
10.8.40.7       10.8.252.108    91         0x800000d3 0x182f    65500
10.8.41.129     10.8.252.105    1048       0x800000d4 0x5479    65500
10.8.41.129     10.8.252.106    842        0x800000d4 0x4e7e    65500
10.8.41.129     10.8.252.107    576        0x800000d3 0x4a82    65500
10.8.41.129     10.8.252.108    91         0x800000d3 0x4487    65500
10.8.41.130     10.8.252.105    1048       0x800000d4 0x4a82    65500
10.8.41.130     10.8.252.106    842        0x800000d4 0x4487    65500
10.8.41.130     10.8.252.107    576        0x800000d3 0x408b    65500
10.8.41.130     10.8.252.108    91         0x800000d3 0x3a90    65500
10.8.41.145     10.8.252.105    1545       0x8000003d 0xe272    65500
10.8.41.145     10.8.252.106    1847       0x8000003d 0xdc77    65500
10.8.41.145     10.8.252.107    576        0x8000003e 0xd47d    65500
10.8.41.145     10.8.252.108    91         0x8000003e 0xce82    65500

