CPU utilization for five seconds: 20%/5%; one minute: 14%; five minutes: 10%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
 115 Hwe 42CAEE8C            0          3       0 8452/9000   0 RPC vs_rp2sp_rpc
 116 Mwe 42EE28C4            0          2       0 8540/9000   0 IP Admission HA 
 117 Hwe 429F2784            0          1       0 5596/6000   0 Mistral Reset Pr
 118 Mwe 429F164C            0          1       0 5592/6000   0 ECC correctable 
 119 Mwe 42AEC31C           60         44    1363 6056/9000   0 PF_Init Process 
 120 Mwe 42ABB9B4            0          1       0 8580/9000   0 K+ RED MAMBA STA
 121 Mwe 41A6DED8      3705400   53966278      68 4940/6000   0 TDP Hello       
 122 Mwe 41A5CD14       197636   10836358      18 8772/12000  0 Tag Control     
 123 Mwe 40C91910            8          2    4000 8512/9000   0 IP MPLS Service 
 124 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 125 Mwe 41A5DFD0           40        670      59 5220/6000   0 Tagcon Addr     
 126 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 127 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 129 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 130 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 131 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 132 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 133 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 134 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 135 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 136 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 137 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 138 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 139 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 140 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 141 Mwe 41F77558            4          1    4000 5564/6000   0 IPC ISSU Version
 142 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 143 Mwe 41F77558            0          1       0 5568/6000   0 IPC ISSU Version
 144 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 145 Mwe 41F77558            0          1       0 5392/6000   0 IPC ISSU Version
 146 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 147 Mwe 41F77558            0          1       0 5568/6000   0 IPC ISSU Version
 148 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 149 Mwe 41F77558            0          1       0 5568/6000   0 IPC ISSU Version
 150 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 151 Mwe 41F77558            0          1       0 5568/6000   0 IPC ISSU Version
 152 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 153 Mwe 41F77558            0          1       0 5568/6000   0 IPC ISSU Version
 154 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 155 Mwe 41F77558            0          1       0 5568/6000   0 IPC ISSU Version
 156 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 157 Mwe 41F77558            0          1       0 5568/6000   0 IPC ISSU Version
 158 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 159 Mwe 41F77558            0          1       0 5568/6000   0 IPC ISSU Version
 160 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 161 Mwe 41F77558            0          1       0 5568/6000   0 IPC ISSU Version
