Module   Sensor        MajorThresh   MinorThres   CurTemp     Status
                       (Celsius)     (Celsius)    (Celsius)         
--------------------------------------------------------------------
6        DDR3DIMM2(s15)  95              85          33         Ok             
6        DDR3DIMM3(s16)  95              85          32         Ok             
7        Crossbar(s1)    115             105         40         Ok             
7        Arb-mux (s2)    115             105         38         Ok             
7        L2L3Dev1(s4)    115             105         36         Ok             
7        L2L3Dev2(s5)    115             105         34         Ok             
7        L2L3Dev3(s6)    115             105         36         Ok             
7        L2L3Dev4(s7)    115             105         35         Ok             
7        L2L3Dev5(s8)    115             105         34         Ok             
7        L2L3Dev6(s9)    115             105         34         Ok             
7        L2L3Dev7(s10)   115             105         31         Ok             
7        L2L3Dev8(s11)   115             105         30         Ok             
7        L2L3Dev9(s12)   115             105         31         Ok             
7        L2L3Dev10(s13)  115             105         28         Ok             
7        L2L3Dev11(s14)  115             105         26         Ok             
7        L2L3Dev12(s15)  115             105         28         Ok             
8        Crossbar(s1)    115             105         39         Ok             
8        Arb-mux (s2)    115             105         39         Ok             
8        L2L3Dev1(s4)    115             105         35         Ok             
8        L2L3Dev2(s5)    115             105         34         Ok             
8        L2L3Dev3(s6)    115             105         36         Ok             
8        L2L3Dev4(s7)    115             105         32         Ok             
8        L2L3Dev5(s8)    115             105         34         Ok             
8        L2L3Dev6(s9)    115             105         32         Ok             
8        L2L3Dev7(s10)   115             105         30         Ok             
8        L2L3Dev8(s11)   115             105         30         Ok             
8        L2L3Dev9(s12)   115             105         29         Ok             
8        L2L3Dev10(s13)  115             105         28         Ok             
8        L2L3Dev11(s14)  115             105         26         Ok             
8        L2L3Dev12(s15)  115             105         26         Ok             
9        Crossbar(s1)    115             105         39         Ok             
9        Arb-mux (s2)    115             105         35         Ok             
9        L2L3Dev1(s4)    115             105         33         Ok             
9        L2L3Dev2(s5)    115             105         33         Ok             
9        L2L3Dev3(s6)    115             105         33         Ok             
9        L2L3Dev4(s7)    115             105         31         Ok             
9        L2L3Dev5(s8)    115             105         32         Ok             
9        L2L3Dev6(s9)    115             105         31         Ok             
9        L2L3Dev7(s10)   115             105         29         Ok             
9        L2L3Dev8(s11)   115             105         29         Ok             
9        L2L3Dev9(s12)   115             105         29         Ok             
9        L2L3Dev10(s13)  115             105         26         Ok             
9        L2L3Dev11(s14)  115             105         27         Ok             
9        L2L3Dev12(s15)  115             105         25         Ok             
10       Crossbar(s1)    115             105         38         Ok             
10       Arb-mux (s2)    115             105         35         Ok             
10       L2L3Dev1(s4)    115             105         34         Ok             
10       L2L3Dev2(s5)    115             105         33         Ok             
10       L2L3Dev3(s6)    115             105         35         Ok             
10       L2L3Dev4(s7)    115             105         31         Ok             
10       L2L3Dev5(s8)    115             105         33         Ok             
10       L2L3Dev6(s9)    115             105         32         Ok             
10       L2L3Dev7(s10)   115             105         28         Ok             
10       L2L3Dev8(s11)   115             105         29         Ok             
10       L2L3Dev9(s12)   115             105         29         Ok             
10       L2L3Dev10(s13)  115             105         25         Ok             
10       L2L3Dev11(s14)  115             105         25         Ok             
10       L2L3Dev12(s15)  115             105         24         Ok             
xbar-1   Intake  (s2)    60              42          31         Ok             
xbar-1   Crossbar(s3)    105             95          56         Ok             
xbar-2   Intake  (s2)    60              42          28         Ok             
xbar-2   Crossbar(s3)    105             95          52         Ok             
xbar-3   Intake  (s2)    60              42          28         Ok             
xbar-3   Crossbar(s3)    105             95          57         Ok             
xbar-4   Intake  (s2)    60              42          28         Ok             
xbar-4   Crossbar(s3)    105             95          56         Ok             
xbar-5   Intake  (s2)    60              42          28         Ok             
xbar-5   Crossbar(s3)    105             95          55         Ok             


