


PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
28919          217       127   1715   0.00%  m6rib
28920      1448831   5805505    249   0.00%  l2pt
28921        53141   1026192     51   0.00%  interface-vlan
28967         9978    267751     37   0.00%  m2rib
28988          177        23   7702   0.00%  mcastfwd
29018        26649   5344275      4   0.25%  wdpunch_thread
29084            0        31      5   0.00%  flush-179:0
29085            0        31      6   0.00%  flush-7:9
29719        10687    534251     20   0.00%  bloggerd
29788       133192   5377574     24   0.00%  psshelper
29789       134037   5377310     24   0.00%  psshelper
29790        38381   1153816     33   0.00%  plog_lc
29791        94145   5355429     17   0.00%  patch_installer
29792        16759    670976     24   0.00%  obfl_lc
29793         9038    359150     25   0.00%  mvsh
29794         5634    267213     21   0.00%  evmc
29795       159077   5566206     28   0.00%  dt_helper
29796         3753    178214     21   0.00%  diagclient
29797     14126776  198496886     71   0.25%  crdcfg_server
29798        18227    537143     33   0.00%  capability
29821       140703   5377967     26   0.00%  device_test
29879     43409825  17983098   2413   0.00%  crdclient
29883      3427263  124620379     27   0.00%  poe_usd
29884      4458288   2522547   1767   0.00%  dc3_sensor
29885    105127808  700617644    150   1.25%  tahusd
29890          421      2375    177   0.00%  dcos_sshd
29940          438      1213    361   0.00%  vsh.bin
30066       193115   5605590     34   0.00%  bfdc
30067        87663    836856    104   0.00%  iftmc
30068       680372  21947154     30   0.00%  nf
30069        26585   1077599     24   0.00%  pixc
30070       248468   1660938    149   0.00%  port_client
30071    264793316  490833454    539   2.75%  stats_client
30072         5674    267206     21   0.00%  vntagc
30076            0         2    464   0.00%  sleep
30080         9376    163899     57   0.00%  mtm
30089       130318   1264275    103   0.00%  ipfib
30090     21106040  333241590     63   0.00%  aclqos
30091        15406    317247     48   0.00%  ptplc
30093          165        24   6884   0.00%  fcoelc
30094         3767    178076     21   0.00%  monc
30095        11186    448558     24   0.00%  xbar_client
30103            4         2   2377   0.00%  vsh.bin
30104           20         4   5124   0.00%  ps
30444        20048   5316835      3   0.00%  kworker/6:1
CPU util  :    1.25% user,    1.37% kernel,   97.37% idle
Please note that only processes from the requested vdc are shown above
