Legend: * - primary entry
        age - seconds since last seen
        n/a - not available

  vlan   mac address     type    learn     age              ports
  3354  a261.1e00.003a   dynamic  Yes        200   Po10
   917  0000.5e00.0101   dynamic  Yes        200   Po10
  3651  a261.1e00.006f   dynamic  Yes        200   Po30
  3651  a261.1e00.006e   dynamic  Yes        200   Po10
  2601  a261.1e00.0007   dynamic  Yes        360   Po30
  2601  a261.1e00.0006   dynamic  Yes        200   Po10
  3373  a261.1e00.0024   dynamic  Yes        200   Po10
  3373  a261.1e00.0025   dynamic  Yes        360   Po30
  3372  a261.1e00.0022   dynamic  Yes        360   Po10
  3372  a261.1e00.0023   dynamic  Yes        360   Po30
  3213  a261.1e00.0026   dynamic  Yes        200   Po10
  3374  0000.5e00.0121   dynamic  Yes        360   Po10
  3374  a261.1e00.0020   dynamic  Yes        200   Po10
  3213  a261.1e00.0027   dynamic  Yes        200   Po30
  3374  a261.1e00.0021   dynamic  Yes        360   Po30
  3234  a261.1e00.0028   dynamic  Yes         55   Po10
  3359  a261.1e00.002e   dynamic  Yes        360   Po10
  3359  a261.1e00.002f   dynamic  Yes        200   Po30
  3235  0000.5e00.012b   dynamic  Yes        200   Po10
  3352  a261.1e00.002c   dynamic  Yes        200   Po10
  3213  0000.5e00.012b   dynamic  Yes        200   Po10
  3352  a261.1e00.002d   dynamic  Yes        360   Po30
  3234  0000.5e00.012c   dynamic  Yes        200   Po10
  2601  0013.5f22.e0c0   dynamic  Yes        200   Po10
  3345  0000.5e00.0114   dynamic  Yes        200   Po10
  3346  0000.5e00.0115   dynamic  Yes        200   Po10
  3345  a261.1e00.0052   dynamic  Yes        200   Po10
  3426  0013.5f22.e0c0   dynamic  Yes        360   Po10
  3435  0013.5f22.e0c0   dynamic  Yes        200   Po10
  2501  0000.5e00.011a   dynamic  Yes        200   Po10
  3345  a261.1e00.0053   dynamic  Yes        360   Po30
  3348  0000.5e00.0117   dynamic  Yes        200   Po10
  3346  a261.1e00.0054   dynamic  Yes        200   Po10
  3346  a261.1e00.0055   dynamic  Yes        200   Po30
  2509  0000.5e00.0110   dynamic  Yes        360   Po10
  3348  a261.1e00.0058   dynamic  Yes        200   Po10
  2508  0000.5e00.0111   dynamic  Yes        200   Po10
  3348  a261.1e00.0059   dynamic  Yes        200   Po30
  2507  0000.5e00.0112   dynamic  Yes        200   Po10
  3427  a261.1e00.0045   dynamic  Yes        360   Po30
  2506  0000.5e00.0113   dynamic  Yes        200   Po10
  3427  a261.1e00.0044   dynamic  Yes        360   Po10
  2508  a261.1e00.0014   dynamic  Yes        310   Po10
  3652  0013.5f22.e0c0   dynamic  Yes        360   Po10
  3655  0013.5f22.e0c0   dynamic  Yes        360   Po10
  3648  0013.5f22.e0c0   dynamic  Yes        360   Po10
  3650  0013.5f22.e0c0   dynamic  Yes        200   Po10
  2508  0013.5f22.e0c0   dynamic  Yes        250   Po10
  2506  0013.5f22.e0c0   dynamic  Yes        250   Po10
  2505  0013.5f22.e0c0   dynamic  Yes        360   Po10
  2501  0013.5f22.e0c0   dynamic  Yes        200   Po10
  3435  a261.1e00.005e   dynamic  Yes        200   Po10
  3352  0000.5e00.0105   dynamic  Yes        360   Po10
  2505  a261.1e00.0008   dynamic  Yes        200   Po10
   414  0013.5f22.e0c0   dynamic  Yes        250   Po10
  2505  a261.1e00.0009   dynamic  Yes        360   Po30
  3349  a261.1e00.0043   dynamic  Yes        360   Po30
  3427  0000.5e00.0118   dynamic  Yes        200   Po10
  3358  0000.5e00.0107   dynamic  Yes        200   Po10
  3349  a261.1e00.0042   dynamic  Yes        200   Po10
  3426  0000.5e00.0119   dynamic  Yes        360   Po10
  3353  0000.5e00.0106   dynamic  Yes        200   Po10
   414  a261.1e00.000d   dynamic  Yes        360   Po30
  3426  a261.1e00.005a   dynamic  Yes        200   Po10
   414  a261.1e00.000c   dynamic  Yes          0   Po10
  3426  a261.1e00.005b   dynamic  Yes        200   Po30
  3355  0000.5e00.010c   dynamic  Yes        200   Po10
  3373  0000.5e00.0149   dynamic  Yes        200   Po10
  2501  a261.1e00.0002   dynamic  Yes        200   Po10
  3234  0013.5f22.e0c0   dynamic  Yes        250   Po10
  3213  0013.5f22.e0c0   dynamic  Yes        250   Po10
  2501  a261.1e00.0003   dynamic  Yes        360   Po30
  2505  0000.5e00.0102   dynamic  Yes        200   Po10
  3372  0013.5f22.e0c0   dynamic  Yes        200   Po10
  3374  0013.5f22.e0c0   dynamic  Yes        200   Po10
  3356  0000.5e00.0109   dynamic  Yes        360   Po10
  3358  0013.5f22.e0c0   dynamic  Yes        200   Po10
  3356  0013.5f22.e0c0   dynamic  Yes        360   Po10
  3354  0013.5f22.e0c0   dynamic  Yes        200   Po10
  3352  0013.5f22.e0c0   dynamic  Yes        360   Po10
  3348  0013.5f22.e0c0   dynamic  Yes        250   Po10
  3346  0013.5f22.e0c0   dynamic  Yes        200   Po10
  3345  0013.5f22.e0c0   dynamic  Yes        250   Po10
  3354  0000.5e00.010b   dynamic  Yes        200   Po10
  3357  0000.5e00.010a   dynamic  Yes        200   Po10
  3235  0013.5f22.e0c0   dynamic  Yes        250   Po10
  2509  0013.5f22.e0c0   dynamic  Yes        120   Po10
  3427  0013.5f22.e0c0   dynamic  Yes        250   Po10
  2507  0013.5f22.e0c0   dynamic  Yes        250   Po10
  3355  0013.5f22.e0c0   dynamic  Yes        360   Po10
  3353  0013.5f22.e0c0   dynamic  Yes        250   Po10
  3359  0013.5f22.e0c0   dynamic  Yes        250   Po10
  3357  0013.5f22.e0c0   dynamic  Yes        200   Po10
  3349  0013.5f22.e0c0   dynamic  Yes        250   Po10
  3373  0013.5f22.e0c0   dynamic  Yes        360   Po10
  2607  0013.5f22.e0c0   dynamic  Yes        250   Po10
  3653  0013.5f22.e0c0   dynamic  Yes        250   Po10
  3654  0013.5f22.e0c0   dynamic  Yes        200   Po10
  3649  0013.5f22.e0c0   dynamic  Yes        250   Po10
  3651  0013.5f22.e0c0   dynamic  Yes        250   Po10

