
Fri Oct  2 00:22:33.969 MSK
   PCB     VRF-ID     Recv-Q Send-Q Local Address          Foreign Address        State
0x1218b5d8 0x60000000      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b4610 0x60000003      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b9054 0x60000004      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b93f4 0x60000005      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b9794 0x60000006      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b9b34 0x60000007      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b9ed4 0x60000008      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121a01e4 0x60000009      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1218aac0 0x6000000a      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121beeec 0x6000000b      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121d71f0 0x6000000c      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b6ba0 0x6000000e      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b6f40 0x6000000f      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b72e0 0x60000010      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b6294 0x60000011      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b7680 0x60000012      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b8e20 0x60000013      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121d76d0 0x60000014      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121c0354 0x60000015      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121d5b64 0x60000016      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121d6054 0x60000017      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121f4234 0x60000019      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121bd318 0x6000001a      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121f1a64 0x6000001b      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1220fcbc 0x6000001c      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1220d100 0x6000001d      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1220cb40 0x6000001e      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1222125c 0x6000001f      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x122215fc 0x60000020      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x122286f0 0x60000021      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1223046c 0x60000022      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1223085c 0x60000023      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12235508 0x60000024      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121f34b8 0x60000025      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12254628 0x60000026      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12228a90 0x60000027      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121dc304 0x60000028      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121f1024 0x60000029      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12244bb0 0x6000002a      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12245170 0x6000002b      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12253760 0x6000002c      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121f69c8 0x6000002f      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121f6d68 0x60000030      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12274bb0 0x60000031      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12274508 0x60000032      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1227235c 0x60000033      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12272db0 0x60000034      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x122857cc 0x60000035      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121f5580 0x60000036      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121f6424 0x60000037      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121a04fc 0x00000000      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1219c1c4 0x00000000      0      0  0.0.0.0:0              0.0.0.0:0              CLOSED
