
Fri Oct  2 00:22:34.285 MSK
   PCB     VRF-ID     Recv-Q Send-Q  Local Address          Foreign Address
0x12100884 0x60000006      0      0  :::162                 :::0                  
0x12101144 0x60000007      0      0  :::162                 :::0                  
0x12101a04 0x60000008      0      0  :::162                 :::0                  
0x12103e24 0x60000009      0      0  :::162                 :::0                  
0x12102f58 0x6000000a      0      0  :::162                 :::0                  
0x12101e64 0x6000000b      0      0  :::162                 :::0                  
0x12104084 0x6000000c      0      0  :::162                 :::0                  
0x12104944 0x6000000d      0      0  :::162                 :::0                  
0x12105204 0x6000000e      0      0  :::162                 :::0                  
0x12105ac4 0x6000000f      0      0  :::162                 :::0                  
0x12106384 0x60000010      0      0  :::162                 :::0                  
0x12107c54 0x60000011      0      0  :::162                 :::0                  
0x12106954 0x60000012      0      0  :::162                 :::0                  
0x121071b4 0x60000013      0      0  :::162                 :::0                  
0x121086b4 0x60000014      0      0  :::162                 :::0                  
0x12108da4 0x60000015      0      0  :::162                 :::0                  
0x12109664 0x60000016      0      0  :::162                 :::0                  
0x12109f24 0x60000017      0      0  :::162                 :::0                  
0x1210a4f4 0x60000019      0      0  :::162                 :::0                  
0x1210af34 0x6000001a      0      0  :::162                 :::0                  
0x1210b7f4 0x6000001b      0      0  :::162                 :::0                  
0x1210c7c4 0x6000001c      0      0  :::162                 :::0                  
0x1210d084 0x6000001d      0      0  :::162                 :::0                  
0x1210e5ac 0x6000001e      0      0  :::162                 :::0                  
0x1210ecb4 0x6000001f      0      0  :::162                 :::0                  
0x1210f8dc 0x60000020      0      0  :::162                 :::0                  
0x121101f4 0x60000021      0      0  :::162                 :::0                  
0x121107c4 0x60000022      0      0  :::162                 :::0                  
0x12111084 0x60000023      0      0  :::162                 :::0                  
0x12111944 0x60000024      0      0  :::162                 :::0                  
0x12113e24 0x60000025      0      0  :::162                 :::0                  
0x12112264 0x60000026      0      0  :::162                 :::0                  
0x12112b24 0x60000027      0      0  :::162                 :::0                  
0x121133e4 0x60000028      0      0  :::162                 :::0                  
0x12114594 0x60000029      0      0  :::162                 :::0                  
0x12114df4 0x6000002a      0      0  :::162                 :::0                  
0x12115894 0x6000002b      0      0  :::162                 :::0                  
0x12123fe0 0x6000002c      0      0  :::162                 :::0                  
0x12120934 0x6000002f      0      0  :::162                 :::0                  
0x1212f204 0x60000030      0      0  :::162                 :::0                  
0x1212f5a4 0x60000031      0      0  :::162                 :::0                  
0x1212fda4 0x60000032      0      0  :::162                 :::0                  
0x121286d0 0x60000033      0      0  :::162                 :::0                  
0x121225a4 0x60000034      0      0  :::162                 :::0                  
0x12121084 0x60000035      0      0  :::162                 :::0                  
0x121203c4 0x60000036      0      0  :::162                 :::0                  
0x12121944 0x60000037      0      0  :::162                 :::0                  
0x120f6ba8 0x60000400      0      0  :::162                 :::0                  
0x120f6368 0x00000000      0      0  :::162                 :::0                  
0x120fde2c 0x00000000      0      0  :::0                   :::0                  
0x12080664 0x00000000      0      0  :::0                   :::0                  
0x12080d3c 0x60000400      0      0  0.0.0.0:69             0.0.0.0:0             
0x12080494 0x00000000      0      0  0.0.0.0:69             0.0.0.0:0             
0x1210c024 0x60000000      0      0  0.0.0.0:123            0.0.0.0:0             
0x1208bbe4 0x60000002      0      0  0.0.0.0:123            0.0.0.0:0             
0x120f76c0 0x00000000      0      0  0.0.0.0:123            0.0.0.0:0             
0x120fd890 0x60000000      0      0  0.0.0.0:646            0.0.0.0:0             
0x120fc394 0x00000000      0      0  0.0.0.0:646            0.0.0.0:0             
0x12088334 0x60000000      0      0  0.0.0.0:161            0.0.0.0:0             
0x12088504 0x60000001      0      0  0.0.0.0:161            0.0.0.0:0             
0x120f7de8 0x60000002      0      0  0.0.0.0:161            0.0.0.0:0             
0x120ff9d8 0x60000003      0      0  0.0.0.0:161            0.0.0.0:0             
0x120fd2c4 0x60000004      0      0  0.0.0.0:161            0.0.0.0:0             
0x120ff550 0x60000005      0      0  0.0.0.0:161            0.0.0.0:0             
0x121013d4 0x60000006      0      0  0.0.0.0:161            0.0.0.0:0             
0x12100ab4 0x60000007      0      0  0.0.0.0:161            0.0.0.0:0             
0x121025b4 0x60000008      0      0  0.0.0.0:161            0.0.0.0:0             
0x12103794 0x60000009      0      0  0.0.0.0:161            0.0.0.0:0             
0x120fe368 0x6000000a      0      0  0.0.0.0:161            0.0.0.0:0             
0x12103188 0x6000000b      0      0  0.0.0.0:161            0.0.0.0:0             
0x12102034 0x6000000c      0      0  0.0.0.0:161            0.0.0.0:0             
0x121042b4 0x6000000d      0      0  0.0.0.0:161            0.0.0.0:0             
0x12104b74 0x6000000e      0      0  0.0.0.0:161            0.0.0.0:0             
0x12105434 0x6000000f      0      0  0.0.0.0:161            0.0.0.0:0             
0x12105cf4 0x60000010      0      0  0.0.0.0:161            0.0.0.0:0             
0x121075c4 0x60000011      0      0  0.0.0.0:161            0.0.0.0:0             
0x12108024 0x60000012      0      0  0.0.0.0:161            0.0.0.0:0             
0x12106b24 0x60000013      0      0  0.0.0.0:161            0.0.0.0:0             
0x121073e4 0x60000014      0      0  0.0.0.0:161            0.0.0.0:0             
0x121098f4 0x60000015      0      0  0.0.0.0:161            0.0.0.0:0             
0x12108fd4 0x60000016      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210aad4 0x60000017      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210bcb4 0x60000019      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210a6c4 0x6000001a      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210b164 0x6000001b      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210d3d4 0x6000001c      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210c9f4 0x6000001d      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210d6cc 0x6000001e      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210fcc4 0x6000001f      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210f24c 0x60000020      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210ee84 0x60000021      0      0  0.0.0.0:161            0.0.0.0:0             
0x121113d4 0x60000022      0      0  0.0.0.0:161            0.0.0.0:0             
0x121109f4 0x60000023      0      0  0.0.0.0:161            0.0.0.0:0             
0x121125b4 0x60000024      0      0  0.0.0.0:161            0.0.0.0:0             
0x12113794 0x60000025      0      0  0.0.0.0:161            0.0.0.0:0             
0x12111bd4 0x60000026      0      0  0.0.0.0:161            0.0.0.0:0             
0x12114024 0x60000027      0      0  0.0.0.0:161            0.0.0.0:0             
0x12112d54 0x60000028      0      0  0.0.0.0:161            0.0.0.0:0             
0x12115204 0x60000029      0      0  0.0.0.0:161            0.0.0.0:0             
0x12114764 0x6000002a      0      0  0.0.0.0:161            0.0.0.0:0             
0x12115024 0x6000002b      0      0  0.0.0.0:161            0.0.0.0:0             
0x12124de8 0x6000002c      0      0  0.0.0.0:161            0.0.0.0:0             
0x12130ccc 0x6000002f      0      0  0.0.0.0:161            0.0.0.0:0             
0x12130044 0x60000030      0      0  0.0.0.0:161            0.0.0.0:0             
0x12128a88 0x60000031      0      0  0.0.0.0:161            0.0.0.0:0             
0x1212f774 0x60000032      0      0  0.0.0.0:161            0.0.0.0:0             
0x121280a0 0x60000033      0      0  0.0.0.0:161            0.0.0.0:0             
0x12122034 0x60000034      0      0  0.0.0.0:161            0.0.0.0:0             
0x12122774 0x60000035      0      0  0.0.0.0:161            0.0.0.0:0             
0x12124308 0x60000036      0      0  0.0.0.0:161            0.0.0.0:0             
0x121212b4 0x60000037      0      0  0.0.0.0:161            0.0.0.0:0             
0x1208c178 0x60000400      0      0  0.0.0.0:161            0.0.0.0:0             
0x1208b844 0x00000000      0      0  0.0.0.0:161            0.0.0.0:0             
0x1208c710 0x60000000      0      0  0.0.0.0:162            0.0.0.0:0             
0x1208ca38 0x60000001      0      0  0.0.0.0:162            0.0.0.0:0             
0x120f6e38 0x60000002      0      0  0.0.0.0:162            0.0.0.0:0             
0x120ffba8 0x60000003      0      0  0.0.0.0:162            0.0.0.0:0             
0x120fd494 0x60000004      0      0  0.0.0.0:162            0.0.0.0:0             
0x120ff720 0x60000005      0      0  0.0.0.0:162            0.0.0.0:0             
0x12100424 0x60000006      0      0  0.0.0.0:162            0.0.0.0:0             
0x12100ce4 0x60000007      0      0  0.0.0.0:162            0.0.0.0:0             
0x121015a4 0x60000008      0      0  0.0.0.0:162            0.0.0.0:0             
0x121039c4 0x60000009      0      0  0.0.0.0:162            0.0.0.0:0             
0x120fe538 0x6000000a      0      0  0.0.0.0:162            0.0.0.0:0             
0x121033b8 0x6000000b      0      0  0.0.0.0:162            0.0.0.0:0             
0x12102204 0x6000000c      0      0  0.0.0.0:162            0.0.0.0:0             
0x121044e4 0x6000000d      0      0  0.0.0.0:162            0.0.0.0:0             
0x12104da4 0x6000000e      0      0  0.0.0.0:162            0.0.0.0:0             
0x12105664 0x6000000f      0      0  0.0.0.0:162            0.0.0.0:0             
0x12105f24 0x60000010      0      0  0.0.0.0:162            0.0.0.0:0             
0x121077f4 0x60000011      0      0  0.0.0.0:162            0.0.0.0:0             
0x121065b4 0x60000012      0      0  0.0.0.0:162            0.0.0.0:0             
0x12106d54 0x60000013      0      0  0.0.0.0:162            0.0.0.0:0             
0x12108254 0x60000014      0      0  0.0.0.0:162            0.0.0.0:0             
0x12108944 0x60000015      0      0  0.0.0.0:162            0.0.0.0:0             
0x12109204 0x60000016      0      0  0.0.0.0:162            0.0.0.0:0             
0x12109ac4 0x60000017      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210a154 0x60000019      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210a8f4 0x6000001a      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210b394 0x6000001b      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210c3c4 0x6000001c      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210cc24 0x6000001d      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210e20c 0x6000001e      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210e77c 0x6000001f      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210f47c 0x60000020      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210f054 0x60000021      0      0  0.0.0.0:162            0.0.0.0:0             
0x121103c4 0x60000022      0      0  0.0.0.0:162            0.0.0.0:0             
0x12110c24 0x60000023      0      0  0.0.0.0:162            0.0.0.0:0             
0x121115a4 0x60000024      0      0  0.0.0.0:162            0.0.0.0:0             
0x121139c4 0x60000025      0      0  0.0.0.0:162            0.0.0.0:0             
0x12111e04 0x60000026      0      0  0.0.0.0:162            0.0.0.0:0             
0x12112784 0x60000027      0      0  0.0.0.0:162            0.0.0.0:0             
0x12112f84 0x60000028      0      0  0.0.0.0:162            0.0.0.0:0             
0x121141f4 0x60000029      0      0  0.0.0.0:162            0.0.0.0:0             
0x12114994 0x6000002a      0      0  0.0.0.0:162            0.0.0.0:0             
0x12115434 0x6000002b      0      0  0.0.0.0:162            0.0.0.0:0             
0x12125024 0x6000002c      0      0  0.0.0.0:162            0.0.0.0:0             
0x12120594 0x6000002f      0      0  0.0.0.0:162            0.0.0.0:0             
0x12130214 0x60000030      0      0  0.0.0.0:162            0.0.0.0:0             
0x12128cb8 0x60000031      0      0  0.0.0.0:162            0.0.0.0:0             
0x1212f944 0x60000032      0      0  0.0.0.0:162            0.0.0.0:0             
0x12128270 0x60000033      0      0  0.0.0.0:162            0.0.0.0:0             
0x12122204 0x60000034      0      0  0.0.0.0:162            0.0.0.0:0             
0x121229a4 0x60000035      0      0  0.0.0.0:162            0.0.0.0:0             
0x12120024 0x60000036      0      0  0.0.0.0:162            0.0.0.0:0             
0x121214e4 0x60000037      0      0  0.0.0.0:162            0.0.0.0:0             
0x1208cc68 0x60000400      0      0  0.0.0.0:162            0.0.0.0:0             
0x1208c540 0x00000000      0      0  0.0.0.0:162            0.0.0.0:0             
0x12087d80 0x00000000      0      0  0.0.0.0:0              0.0.0.0:0             
0x12087f54 0x00000000      0      0  0.0.0.0:0              0.0.0.0:0             
0x1208462c 0x00000000      0      0  0.0.0.0:0              0.0.0.0:0             
0x12084264 0x00000000      0      0  0.0.0.0:0              0.0.0.0:0             
