
Legend: 
	* - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
	age - seconds since last seen,+ - primary entry using vPC Peer-Link,
	(T) - True, (F) - False, C - ControlPlane MAC, ~ - vsan
   VLAN     MAC Address      Type      age     Secure NTFY Ports
---------+-----------------+--------+---------+------+----+------------------
+ 3801     0050.56a4.4c2e   dynamic  0         F      F    Po7
+ 3801     0050.56a4.4d77   dynamic  0         F      F    Po7
+ 3801     0050.56a4.4f87   dynamic  0         F      F    Po7
+ 3801     0050.56a4.525f   dynamic  0         F      F    Po7
+ 3801     0050.56a4.554e   dynamic  0         F      F    Po7
+ 3801     0050.56a4.5598   dynamic  0         F      F    Po7
+ 3801     0050.56a4.5772   dynamic  0         F      F    Po7
+ 3801     0050.56a4.57c9   dynamic  0         F      F    Po7
+ 3801     0050.56a4.58c2   dynamic  0         F      F    Po7
+ 3801     0050.56a4.5974   dynamic  0         F      F    Po7
+ 3801     0050.56a4.5cd8   dynamic  0         F      F    Po7
+ 3801     0050.56a4.5d82   dynamic  0         F      F    Po7
+ 3801     0050.56a4.5d90   dynamic  0         F      F    Po7
+ 3801     0050.56a4.5fae   dynamic  0         F      F    Po7
+ 3801     0050.56a4.6265   dynamic  0         F      F    Po7
+ 3801     0050.56a4.64e6   dynamic  0         F      F    Po7
+ 3801     0050.56a4.67db   dynamic  0         F      F    Po7
* 3801     0050.56a4.6ba6   dynamic  0         F      F    Po7
+ 3801     0050.56a4.6d21   dynamic  0         F      F    Po7
+ 3801     0050.56a4.7d72   dynamic  0         F      F    Po7
+ 3801     0050.56a4.7d7b   dynamic  0         F      F    Po7
+ 3801     0050.56a4.8582   dynamic  0         F      F    Po7
+ 3801     0050.56a4.8a3a   dynamic  0         F      F    Po7
+ 3801     0050.56a4.960c   dynamic  0         F      F    Po7
+ 3801     0050.56a4.a104   dynamic  0         F      F    Po7
+ 3801     0050.56a4.a167   dynamic  0         F      F    Po7
+ 3801     0050.56a4.a631   dynamic  0         F      F    Po7
+ 3801     0050.56a4.b211   dynamic  0         F      F    Po7
+ 3801     0050.56a4.b39a   dynamic  0         F      F    Po7
+ 3801     0050.56a4.b562   dynamic  0         F      F    Po7
+ 3801     0050.56a4.be85   dynamic  0         F      F    Po7
+ 3801     0050.56a4.bf0f   dynamic  0         F      F    Po7
