

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Po220         139,172,174,177-178,180,184,193,280,294,3033-3034,3130,3137-3139,3144,3147,3151,3153-3155,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3488,3539,3574,3628,3630,3636,3642,3769,3772,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po221         139,172,174,177-178,180,184,193,280,294,3033-3034,3130,3137-3139,3144,3147,3151,3153-3155,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3488,3628,3630,3636,3642,3769,3772,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po222         139,172,174,177-178,180,184,193,280,294,3033-3034,3130,3137-3139,3144,3147,3151,3153-3155,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3488,3628,3630,3636,3642,3769,3772,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po223         139,172,174,177-178,180,184,193,280,294,3033-3034,3130,3137-3139,3144,3147,3151,3153-3154,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3488,3628,3630,3636,3642,3769,3772,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po224         139,172,174,177-178,180,184,193,280,294,3033-3034,3130,3137-3139,3144,3147,3151,3153-3154,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3488,3628,3630,3636,3642,3769,3772,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po225         139,172,174,177-178,180,184,193,280,294,3033-3034,3130,3137-3139,3144,3147,3151,3153-3155,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3488,3539,3574,3628,3630,3636,3642,3769,3772,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po226         139,172,174,177-178,180,184,193,280,294,3033-3034,3130,3137-3139,3144,3147,3151,3153-3155,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3488,3539,3574,3628,3630,3636,3642,3769,3772,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po227         139,172,174,177-178,180,184,193,280,294,3033-3034,3130,3137-3139,3144,3147,3151,3153-3155,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3488,3539,3574,3628,3630,3636,3642,3769,3772,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po228         139,172,174,177-178,180,184,193,280,294,3033-3034,3130,3137-3139,3144,3147,3151,3153-3155,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3488,3539,3574,3628,3630,3636,3642,3769,3772,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po229         139,172,174,177-178,180,184,193,280,294,3033-3034,3130,3137-3139,3144,3147,3151,3153-3154,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3488,3628,3630,3636,3642,3769,3772,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po230         139,172,174,177-178,180,184,193,280,294,3033-3034,3130,3137-3139,3144,3147,3151,3153-3154,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3488,3628,3630,3636,3642,3769,3772,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po233         3176,3317
Po234         3176,3317
Po350         139,172,174,177-178,184,193,280,294,3033-3034,3130,3138-3139,3144,3147,3151,3153-3154,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3628,3630,3636,3642,3769,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po351         139,172,174,177-178,184,193,280,294,3033-3034,3130,3138-3139,3144,3147,3151,3153-3154,3162,3184,3186-3189,3192,3198,3200,3203,3318,3428,3434,3441,3443,3628,3630,3636,3642,3769,3801,3804,3812,3825,3837,3842,3865,3901-3909,3915,3924-3926,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
Po352         139,172,174,177-178,180,184,193,280,294,3033-3034,3130,3137-3139,3144,3147,3151,3153-3155,3162,3184,3186,3188-3189,3198,3200,3203,3318,3434,3441,3443,3488,3539,3574,3628,3630,3636,3642,3801,3804,3824-3825,3865,3901-3909,3915,3924-3925,3929-3930,3935,3943,3952-3953,3957-3958,3965-3966
