
Tue Oct 13 20:14:50.145 MSK

               Intf       Intf        LineP              Encap  MTU        BW
     Te0/0/0/2.3479          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3481          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3483          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3485          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3487          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3497          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3617          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3753          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3761          up          up             802.1Q  9220   10000000
          Te0/0/0/3          up          up               ARPA  9216   10000000
          Te0/0/0/4          up          up               ARPA  9220   10000000
          Te0/0/0/5          up          up               ARPA  9220   10000000
          Te0/0/0/6          up          up               ARPA  9216   10000000
          Te0/0/0/7          up          up               ARPA  9174   10000000
          Te0/0/1/0          up          up               ARPA  9220   10000000
          Te0/0/1/1          up          up               ARPA  9220   10000000
          Te0/0/1/2          up          up               ARPA  9216   10000000
          Te0/0/1/3          up          up               ARPA  9174   10000000
          Te0/0/1/4          up          up               ARPA  9216   10000000
          Te0/0/1/5          up          up               ARPA  9174   10000000
          Te0/0/1/6          up          up               ARPA  9220   10000000
          Te0/0/1/7          up          up               ARPA  9216   10000000

