
Fri Oct  2 00:22:46.724 MSK
   PCB     VRF-ID     Recv-Q Send-Q Local Address          Foreign Address        State
0x121bea04 0x60000005      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b7af4 0x60000006      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b7e94 0x60000007      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b8570 0x60000008      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b8910 0x60000009      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121be158 0x6000000a      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121c4a40 0x6000000b      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121dd430 0x6000000c      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121b99ac 0x6000000e      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121c6440 0x6000000f      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121c60a0 0x60000010      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121883a4 0x60000011      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121c5cd8 0x60000012      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121ba5f8 0x60000013      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121c380c 0x60000016      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1218ccfc 0x60000017      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121dd090 0x60000018      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121d74bc 0x60000019      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121d5670 0x6000001a      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121d6818 0x6000001b      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12203ef0 0x6000001c      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121fe19c 0x6000001d      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12205184 0x6000001e      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x122000d0 0x6000001f      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12200470 0x60000020      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12224c60 0x60000021      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12225f60 0x60000022      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12224a64 0x60000023      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12225d90 0x60000024      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12221c0c 0x60000025      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121ffbf8 0x60000026      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12223a68 0x60000027      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12223898 0x60000028      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1224fdcc 0x60000029      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1223b6e8 0x6000002a      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1223d470 0x6000002b      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1223be50 0x6000002c      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121ff9a0 0x6000002d      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x12290c3c 0x60000030      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1228be54 0x60000031      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1228f860 0x60000032      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1228c1a8 0x60000033      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1228c548 0x60000034      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121e4e70 0x60000035      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1228dee8 0x60000036      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1225befc 0x60000037      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1225ca68 0x60000038      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1219edb8 0x00000000      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1219a8fc 0x00000000      0      0  0.0.0.0:0              0.0.0.0:0              CLOSED
