
Fri Oct  2 00:22:47.093 MSK
   PCB     VRF-ID     Recv-Q Send-Q  Local Address          Foreign Address
0x12113504 0x6000002a      0      0  0.0.0.0:161            0.0.0.0:0             
0x121153d4 0x6000002b      0      0  0.0.0.0:161            0.0.0.0:0             
0x12114ab4 0x6000002c      0      0  0.0.0.0:161            0.0.0.0:0             
0x12125024 0x6000002d      0      0  0.0.0.0:161            0.0.0.0:0             
0x121289fc 0x60000030      0      0  0.0.0.0:161            0.0.0.0:0             
0x12120884 0x60000031      0      0  0.0.0.0:161            0.0.0.0:0             
0x12127fbc 0x60000032      0      0  0.0.0.0:161            0.0.0.0:0             
0x121345e0 0x60000033      0      0  0.0.0.0:161            0.0.0.0:0             
0x12134d20 0x60000034      0      0  0.0.0.0:161            0.0.0.0:0             
0x12133664 0x60000035      0      0  0.0.0.0:161            0.0.0.0:0             
0x12122204 0x60000036      0      0  0.0.0.0:161            0.0.0.0:0             
0x12122a64 0x60000037      0      0  0.0.0.0:161            0.0.0.0:0             
0x121201f4 0x60000038      0      0  0.0.0.0:161            0.0.0.0:0             
0x1208c370 0x60000400      0      0  0.0.0.0:161            0.0.0.0:0             
0x1208ba3c 0x00000000      0      0  0.0.0.0:161            0.0.0.0:0             
0x1208c908 0x60000000      0      0  0.0.0.0:162            0.0.0.0:0             
0x1208cad8 0x60000001      0      0  0.0.0.0:162            0.0.0.0:0             
0x120fc024 0x60000002      0      0  0.0.0.0:162            0.0.0.0:0             
0x120fce3c 0x60000003      0      0  0.0.0.0:162            0.0.0.0:0             
0x120ff618 0x60000004      0      0  0.0.0.0:162            0.0.0.0:0             
0x120ffd58 0x60000005      0      0  0.0.0.0:162            0.0.0.0:0             
0x12100424 0x60000006      0      0  0.0.0.0:162            0.0.0.0:0             
0x12100ce4 0x60000007      0      0  0.0.0.0:162            0.0.0.0:0             
0x121015a4 0x60000008      0      0  0.0.0.0:162            0.0.0.0:0             
0x121039c4 0x60000009      0      0  0.0.0.0:162            0.0.0.0:0             
0x12101fbc 0x6000000a      0      0  0.0.0.0:162            0.0.0.0:0             
0x12102a14 0x6000000b      0      0  0.0.0.0:162            0.0.0.0:0             
0x121032d4 0x6000000c      0      0  0.0.0.0:162            0.0.0.0:0             
0x12104424 0x6000000d      0      0  0.0.0.0:162            0.0.0.0:0             
0x12104ce4 0x6000000e      0      0  0.0.0.0:162            0.0.0.0:0             
0x121055a4 0x6000000f      0      0  0.0.0.0:162            0.0.0.0:0             
0x12105e64 0x60000010      0      0  0.0.0.0:162            0.0.0.0:0             
0x12107734 0x60000011      0      0  0.0.0.0:162            0.0.0.0:0             
0x121064f4 0x60000012      0      0  0.0.0.0:162            0.0.0.0:0             
0x12106db4 0x60000013      0      0  0.0.0.0:162            0.0.0.0:0             
