
        OSPF Router with ID (10.8.252.2) (Process ID 1 VRF default)

                Router Link States (Area 0.0.0.0)

Link ID         ADV Router      Age        Seq#       Checksum Link Count
10.8.39.11      10.8.252.107    546        0x800000d3 0x0144    65500
10.8.39.11      10.8.252.108    60         0x800000d3 0xfa49    65500
10.8.39.12      10.8.252.105    1514       0x800000d2 0x0542    65500
10.8.39.12      10.8.252.106    28         0x800000d4 0xfa49    65500
10.8.39.12      10.8.252.107    546        0x800000d3 0xf64d    65500
10.8.39.12      10.8.252.108    60         0x800000d3 0xf052    65500
10.8.39.13      10.8.252.105    1514       0x800000d2 0xfa4b    65500
10.8.39.13      10.8.252.106    28         0x800000d4 0xf052    65500
10.8.39.13      10.8.252.107    1067       0x800000d2 0xee55    65500
10.8.39.13      10.8.252.108    60         0x800000d2 0xe85a    65500
10.8.40.3       10.8.252.105    1018       0x800000d4 0x50fc    65500
10.8.40.3       10.8.252.106    811        0x800000d4 0x4a02    65500
10.8.40.3       10.8.252.107    546        0x800000d3 0x4606    65500
10.8.40.3       10.8.252.108    60         0x800000d3 0x400b    65500
10.8.40.4       10.8.252.105    1018       0x800000d4 0x4606    65500
10.8.40.4       10.8.252.106    811        0x800000d4 0x400b    65500
10.8.40.4       10.8.252.107    546        0x800000d3 0x3c0f    65500
10.8.40.4       10.8.252.108    60         0x800000d3 0x3614    65500
10.8.40.5       10.8.252.105    1018       0x800000d4 0x3c0f    65500
10.8.40.5       10.8.252.106    811        0x800000d4 0x3614    65500
10.8.40.5       10.8.252.107    546        0x800000d3 0x3218    65500
10.8.40.5       10.8.252.108    60         0x800000d3 0x2c1d    65500
10.8.40.6       10.8.252.105    1018       0x800000d4 0x3218    65500
10.8.40.6       10.8.252.106    811        0x800000d4 0x2c1d    65500
10.8.40.6       10.8.252.107    546        0x800000d3 0x2821    65500
10.8.40.6       10.8.252.108    60         0x800000d3 0x2226    65500
10.8.40.7       10.8.252.105    1018       0x800000d4 0x2821    65500
10.8.40.7       10.8.252.106    811        0x800000d4 0x2226    65500
10.8.40.7       10.8.252.107    546        0x800000d3 0x1e2a    65500
10.8.40.7       10.8.252.108    60         0x800000d3 0x182f    65500
10.8.41.129     10.8.252.105    1018       0x800000d4 0x5479    65500
10.8.41.129     10.8.252.106    811        0x800000d4 0x4e7e    65500
10.8.41.129     10.8.252.107    546        0x800000d3 0x4a82    65500
10.8.41.129     10.8.252.108    60         0x800000d3 0x4487    65500
10.8.41.130     10.8.252.105    1018       0x800000d4 0x4a82    65500
10.8.41.130     10.8.252.106    811        0x800000d4 0x4487    65500
10.8.41.130     10.8.252.107    546        0x800000d3 0x408b    65500
10.8.41.130     10.8.252.108    60         0x800000d3 0x3a90    65500
10.8.41.145     10.8.252.105    1514       0x8000003d 0xe272    65500
10.8.41.145     10.8.252.106    1817       0x8000003d 0xdc77    65500
10.8.41.145     10.8.252.107    546        0x8000003e 0xd47d    65500
10.8.41.145     10.8.252.108    60         0x8000003e 0xce82    65500

