
 Note: MAC table entries displayed are getting read from software.
 Use the 'hardware-age' keyword to get information related to 'Age' 

 Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False ,  ~~~ - use 'hardware-age' keyword to retrieve age info 
   VLAN     MAC Address      Type      age     Secure NTFY Ports/SWID.SSID.LID
---------+-----------------+--------+---------+------+----+------------------
* 586      506b.8d88.bcb3    dynamic     ~~~      F    F  Po71
* 586      506b.8d88.bea8    dynamic     ~~~      F    F  Po71
* 586      506b.8d89.96e5    dynamic     ~~~      F    F  Po71
* 586      506b.8d8a.2d0e    dynamic     ~~~      F    F  Po71
* 586      506b.8d8a.69f1    dynamic     ~~~      F    F  Po71
* 586      506b.8d8b.96de    dynamic     ~~~      F    F  Po71
* 586      506b.8d8d.920e    dynamic     ~~~      F    F  Po71
* 586      506b.8d8d.baaa    dynamic     ~~~      F    F  Po71
* 586      506b.8d8d.dfd7    dynamic     ~~~      F    F  Po71
* 586      506b.8d8e.1232    dynamic     ~~~      F    F  Po71
* 586      506b.8d8e.a6ae    dynamic     ~~~      F    F  Po71
* 586      506b.8d8e.e0f8    dynamic     ~~~      F    F  Po71
* 586      506b.8d8f.99a9    dynamic     ~~~      F    F  Po71
* 586      506b.8d8f.e2fd    dynamic     ~~~      F    F  Po71
* 586      506b.8d90.2a66    dynamic     ~~~      F    F  Po71
* 586      506b.8d91.43cf    dynamic     ~~~      F    F  Po71
* 586      506b.8d91.bfbb    dynamic     ~~~      F    F  Po71
* 586      506b.8d92.b1df    dynamic     ~~~      F    F  Po71
* 586      506b.8d93.f7e8    dynamic     ~~~      F    F  Po71
* 586      506b.8d94.0e81    dynamic     ~~~      F    F  Po71
* 586      506b.8d94.5169    dynamic     ~~~      F    F  Po71
* 586      506b.8d95.6c46    dynamic     ~~~      F    F  Po71
* 586      506b.8d96.68e4    dynamic     ~~~      F    F  Po71
* 586      506b.8d99.a11a    dynamic     ~~~      F    F  Po71
* 586      506b.8d9a.d2ec    dynamic     ~~~      F    F  Po71
* 586      506b.8d9b.53ce    dynamic     ~~~      F    F  Po71
